,age,age_at_first_birth,feelings_life,sex
1,52.7,25.9,8,Female
2,63.6,23.2,8,Female
3,80,27.3,10,Female
4,63,25.8,9,Female
5,58.8,18.3,4,Female
6,80,22.9,10,Female
7,25.2,21.3,5,Male
8,26.8,18.8,10,Female
9,66.8,26.3,6,Female
10,68.8,24.3,9,Male
11,73.2,30.8,10,Male
12,39.1,31,9,Male
13,64.8,31,10,Male
14,40.7,29,8,Female
15,80,22.9,7,Male
16,80,23.5,10,Female
17,71.4,23.2,8,Male
18,71.6,18.5,10,Male
19,54.3,25,10,Male
20,80,26.2,10,Male
21,37,35.4,9,Female
22,27.3,18,8,Female
23,68.9,32.8,10,Male
24,63.4,24.8,10,Male
25,34.5,32.8,7,Male
26,36.2,25.1,8,Male
27,80,19.3,8,Female
28,26.8,19.3,8,Female
29,60.6,25.3,8,Male
30,51.9,35.5,5,Female
31,61.5,29.6,9,Male
32,47.5,35.9,9,Female
33,46.6,32.8,7,Male
34,68.6,18,10,Female
35,51,19,6,Male
36,70.8,20.3,10,Female
37,34,21.9,9,Female
38,72.4,18.8,7,Female
39,80,20.5,9,Female
40,65.9,24.9,9,Female
41,61.8,37.5,5,Female
42,37,21.8,10,Female
43,80,31.3,9,Male
44,42.3,21.2,8,Female
45,44.3,27.7,6,Male
46,41.1,32,10,Male
47,31.5,30.4,9,Female
48,57.9,24.8,6,Female
49,57.8,24.5,8,Female
50,74.8,20.8,7,Female
51,41.1,28.4,7,Male
52,53.3,32.9,7,Male
53,80,31.1,NA,Male
54,73.3,23.1,6,Female
55,80,29.8,8,Male
56,72.3,21.9,5,Female
57,56.3,19.3,10,Female
58,71,24.8,9,Male
59,33,21.6,10,Female
60,63.4,23.4,8,Male
61,79,26.3,9,Male
62,43.3,42.7,6,Male
63,57.3,28,4,Female
64,55.8,45,8,Male
65,41.4,35.8,7,Female
66,64.3,24.1,NA,Female
67,80,32.5,9,Female
68,79.1,35.6,10,Male
69,47.3,38.7,8,Male
70,35.9,18,9,Female
71,53.8,32.7,8,Female
72,51.4,37.2,10,Female
73,45,34.5,10,Male
74,72.1,34.3,6,Female
75,70.8,18,9,Male
76,46.8,26.3,10,Male
77,58.1,25.8,2,Female
78,36.5,28.1,9,Female
79,60.3,20.3,10,Female
80,66.1,27.8,9,Male
81,78.2,22.9,NA,Male
82,33.9,28.8,9,Male
83,74.8,18,8,Female
84,70.6,21.6,10,Female
85,80,23.5,0,Male
86,39.6,31.5,8,Male
87,30.8,28.8,9,Male
88,69.6,33.8,10,Male
89,56.3,32.8,6,Female
90,76.8,20.1,8,Female
91,80,31.2,7,Male
92,33.3,31.1,8,Female
93,63.8,28.1,8,Female
94,40.4,38.5,7,Male
95,39.3,25.8,10,Female
96,67.1,19.8,9,Female
97,61.1,35.5,5,Female
98,65.6,31.5,9,Female
99,59,26.7,8,Male
100,51.3,18,10,Female
101,52.9,28.3,9,Female
102,40.6,38.9,7,Female
103,76.6,19.3,8,Female
104,62.3,19.5,10,Male
105,80,24.8,10,Male
106,69.2,18,7,Male
107,73.4,18,10,Female
108,80,25.3,10,Male
109,67.4,19.5,9,Female
110,61.8,26,7,Female
111,67.4,28,7,Male
112,31.6,31.5,9,Female
113,78,22.2,9,Male
114,50,29.8,9,Female
115,63.1,25.4,10,Male
116,63.1,25.6,9,Male
117,53.5,34.2,8,Male
118,51.2,27.4,7,Male
119,68,39,9,Male
120,57.5,27.9,10,Female
121,54.2,24.2,8,Female
122,68,31.3,10,Male
123,71.6,21.9,10,Female
